refdes	footprint	value	mfr	mfr_PN	vendor	vendor_PN	price	documentation	source	comment	
P301	CON-SIL-254P-8N____.fp	unknown	unknown	unknown	Conrad	739472	0.37	unknown	unknown	unknown	
TP351	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP301	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP302	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C355	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C354	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C357	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C356	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C359	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C358	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C308	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C309	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C307	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C306	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C304	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
C305	CAPC3216N____.fp	100nF	unknown	unknown	Conrad	445273	0.14	unknown	unknown	unknown	
U353	SOIC127P600X155-8N____.fp	CA3140M	unknown	unknown	Conrad	142107	1.59	unknown	unknown	unknown	
U352	SOIC127P600X155-8N____.fp	CA3140M	unknown	unknown	Conrad	142107	1.59	unknown	unknown	unknown	
U351	SOIC127P600X155-8N____.fp	CA3140M	unknown	unknown	Conrad	142107	1.59	unknown	unknown	unknown	
U303	SOIC127P600X155-8N____.fp	CA3140M	unknown	unknown	Conrad	142107	1.59	unknown	unknown	unknown	
U302	SOIC127P600X155-8N____.fp	CA3140M	unknown	unknown	Conrad	142107	1.59	unknown	unknown	unknown	
U301	SOIC127P600X155-8N____.fp	CA3140M	unknown	unknown	Conrad	142107	1.59	unknown	unknown	unknown	
R354	TRIM_Panasonic_EVM1D__.fp	5k	unknown	unknown	Conrad	421028	0.63	unknown	unknown	unknown	
R353	RESC3216N____.fp	2k2	unknown	unknown	Conrad	402583	0.10	unknown	unknown	unknown	
R355	RESC3216N____.fp	100k	unknown	unknown	Conrad	402788	0.10	unknown	unknown	unknown	
R356	RESC3216N____.fp	82k	unknown	unknown	Conrad	402770	0.10	unknown	unknown	unknown	
C352	CAPC3216N____.fp	22nF	unknown	unknown	Conrad	445474	0.14	unknown	unknown	unknown	
C351	CAPC3216N____.fp	22nF	unknown	unknown	Conrad	445474	0.14	unknown	unknown	unknown	
R352	RESC3216N____.fp	8k2	unknown	unknown	Conrad	402656	0.10	unknown	unknown	unknown	
R351	RESC3216N____.fp	10k	unknown	unknown	Conrad	402664	0.10	unknown	unknown	unknown	
C303	CAPAE400X530N____.fp	1uF/50V	unknown	unknown	Conrad	421551	0.15	unknown	unknown	unknown	
C353	CAPAE400X530N____.fp	1uF/50V	unknown	unknown	Conrad	421551	0.15	unknown	unknown	unknown	
R361	TRIM_Panasonic_EVM1D__.fp	10k	unknown	unknown	Conrad	421041	0.63	unknown	unknown	unknown	
R360	RESC3216N____.fp	1M	unknown	unknown	Conrad	402907	0.10	unknown	unknown	unknown	
D353	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
D354	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
R358	RESC3216N____.fp	15k	unknown	unknown	Conrad	402680	0.10	unknown	unknown	unknown	
R359	RESC3216N____.fp	1k	unknown	unknown	Conrad	402540	0.10	unknown	unknown	unknown	
D352	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
D351	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
R357	RESC3216N____.fp	10k	unknown	unknown	Conrad	402664	0.10	unknown	unknown	unknown	
R311	TRIM_Panasonic_EVM1D__.fp	10k	unknown	unknown	Conrad	421041	0.63	unknown	unknown	unknown	
R310	RESC3216N____.fp	1M	unknown	unknown	Conrad	402907	0.10	unknown	unknown	unknown	
D303	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
D304	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
R308	RESC3216N____.fp	15k	unknown	unknown	Conrad	402680	0.10	unknown	unknown	unknown	
R309	RESC3216N____.fp	1k	unknown	unknown	Conrad	402540	0.10	unknown	unknown	unknown	
D302	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
D301	DIOMELF3216X16N____.fp	LL4148	unknown	unknown	Conrad	140902	0.10	unknown	unknown	unknown	
R307	RESC3216N____.fp	10k	unknown	unknown	Conrad	402664	0.10	unknown	unknown	unknown	
