refdes, device, footprint, value, mfg, mfg_PN, price, vendor, vendor_PN, symversion
A301, CONNECTOR, CON-SIL-254P-8N____.fp, , Ratioplast-Electronics, STL120838003, 0.37, Conrad, 739472, 20090502
C301., CAPACITOR, CAPC3216N____.fp, 47nF, Yageo, CC1206KRX7R9BN473, 0.14, Conrad, 445149, 0.1
C302., CAPACITOR, CAPC3216N____.fp, 47nF, Yageo, CC1206KRX7R9BN473, 0.14, Conrad, 445149, 0.1
C303., POLARIZED_CAPACITOR, CAPAE400X530N____.fp, 1uF/50V, Samwha, RC1H105M04005VR, 0.15, Conrad, 421551, 0.1
C304., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C305., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C306., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C307., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C308., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C309., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C351., CAPACITOR, CAPC3216N____.fp, 22nF, Yageo, CC1206KRX7R9BB223, 0.14, Conrad, 445474, 0.1
C352., CAPACITOR, CAPC3216N____.fp, 22nF, Yageo, CC1206KRX7R9BB223, 0.14, Conrad, 445474, 0.1
C353., POLARIZED_CAPACITOR, CAPAE400X530N____.fp, 1uF/50V, Samwha, RC1H105M04005VR, 0.15, Conrad, 421551, 0.1
C354., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C355., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C356., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C357., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C358., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C359., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
D301, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D302, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D303, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D304, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D351, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D352, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D353, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D354, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
GND., TEST_POINT, CON-TP_Keystone_5000_compact_red.fp, , , , , , , 20090501
R301, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R302, RESISTOR, RESC3216N____.fp, 6k8, Yageo, RC1206JR-076k8L, 0.10, Conrad, 402648, 
R303, RESISTOR, RESC3216N____.fp, 2k2, Yageo, RC1206JR-072k2L, 0.10, Conrad, 402583, 
R304, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 5k, Panasonic, EVM1D, 0.63, Conrad, 421028, 
R305, RESISTOR, RESC3216N____.fp, 100k, Yageo, RC1206JR-07100kL, 0.10, Conrad, 402788, 
R306, RESISTOR, RESC3216N____.fp, 68k, Yageo, RC1206JR-0768kL, 0.10, Conrad, 402761, 
R307, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R308, RESISTOR, RESC3216N____.fp, 15k, Yageo, RC1206JR-0715kL, 0.10, Conrad, 402680, 
R309, RESISTOR, RESC3216N____.fp, 1k, Yageo, RC1206JR-071kL, 0.10, Conrad, 402540, 
R310, RESISTOR, RESC3216N____.fp, 1M, Yageo, RC1206JR-071ML, 0.10, Conrad, 402907, 
R311, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 10k, Panasonic, EVM1D, 0.63, Conrad, 421041, 
R351, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R352, RESISTOR, RESC3216N____.fp, 8k2, Yageo, RC1206JR-078k2L, 0.10, Conrad, 402656, 
R353, RESISTOR, RESC3216N____.fp, 2k2, Yageo, RC1206JR-072k2L, 0.10, Conrad, 402583, 
R354, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 5k, Panasonic, EVM1D, 0.63, Conrad, 421028, 
R355, RESISTOR, RESC3216N____.fp, 100k, Yageo, RC1206JR-07100kL, 0.10, Conrad, 402788, 
R356, RESISTOR, RESC3216N____.fp, 82k, Yageo, RC1206JR-0782kL, 0.10, Conrad, 402770, 
R357, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R358, RESISTOR, RESC3216N____.fp, 15k, Yageo, RC1206JR-0715kL, 0.10, Conrad, 402680, 
R359, RESISTOR, RESC3216N____.fp, 1k, Yageo, RC1206JR-071kL, 0.10, Conrad, 402540, 
R360, RESISTOR, RESC3216N____.fp, 1M, Yageo, RC1206JR-071ML, 0.10, Conrad, 402907, 
R361, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 10k, Panasonic, EVM1D, 0.63, Conrad, 421041, 
TP1., TEST_POINT, CON-TP_Keystone_5000_compact_red.fp, , , , , , , 20090501
TP2., TEST_POINT, CON-TP_Keystone_5000_compact_red.fp, , , , , , , 20090501
U301, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U302, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U303, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U351, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U352, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U353, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
