refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
TP251	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP201	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP202	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D252	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D251	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R257	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R211	TRIM_Panasonic_EVM1D__.fp	10k	Panasonic	EVM1D	Conrad	421041	0.63	unknown	unknown	unknown	
R210	RESC3216N____.fp	1M	Yageo	RC1206JR-071ML	Conrad	402907	0.10	unknown	unknown	unknown	
D203	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D204	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R208	RESC3216N____.fp	15k	Yageo	RC1206JR-0715kL	Conrad	402680	0.10	unknown	unknown	unknown	
R209	RESC3216N____.fp	1k	Yageo	RC1206JR-071kL	Conrad	402540	0.10	unknown	unknown	unknown	
D202	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D201	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R207	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R204	TRIM_Panasonic_EVM1D__.fp	5k	Panasonic	EVM1D	Conrad	421028	0.63	unknown	unknown	unknown	
R203	RESC3216N____.fp	2k2	Yageo	RC1206JR-072k2L	Conrad	402583	0.10	unknown	unknown	unknown	
R205	RESC3216N____.fp	120k	Yageo	RC1206JR-07120kL	Conrad	402796	0.10	unknown	unknown	unknown	
R206	RESC3216N____.fp	22k	Yageo	RC1206JR-0722kL	Conrad	402702	0.10	unknown	unknown	unknown	
C202	CAPC3216N____.fp	220nF	Yageo	CC1206JRX7R8BB224 	Conrad	445297	0.19	unknown	unknown	unknown	
C201	CAPC3216N____.fp	220nF	Yageo	CC1206JRX7R8BB224 	Conrad	445297	0.19	unknown	unknown	unknown	
R202	RESC3216N____.fp	2k2	Yageo	RC1206JR-072k2L	Conrad	402583	0.10	unknown	unknown	unknown	
R201	RESC3216N____.fp	12k	Yageo	RC1206JR-0712kL	Conrad	402672	0.10	unknown	unknown	unknown	
