refdes, device, footprint, value, mfg, mfg_PN, price, vendor, vendor_PN, symversion
A401, CONNECTOR, CON-SIL-254P-8N____.fp, , Ratioplast-Electronics, STL120838003, 0.37, Conrad, 739472, 20090502
C401., CAPACITOR, CAPC3216N____.fp, 10nF, Yageo, CC1206KRX7R9BN103, 0.14, Conrad, 445449, 0.1
C402., CAPACITOR, CAPC3216N____.fp, 10nF, Yageo, CC1206KRX7R9BN103, 0.14, Conrad, 445449, 0.1
C403., POLARIZED_CAPACITOR, CAPAE400X530N____.fp, 1uF/50V, Samwha, RC1H105M04005VR, 0.15, Conrad, 421551, 0.1
C404., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C405., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C406., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C407., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C408., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C409., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C451., CAPACITOR, CAPC3216N____.fp, 4n7F, Yageo, CC1206KRX7R9BB472, 0.14, Conrad, 445585, 0.1
C452., CAPACITOR, CAPC3216N____.fp, 4n7F, Yageo, CC1206KRX7R9BB472, 0.14, Conrad, 445585, 0.1
C453., POLARIZED_CAPACITOR, CAPAE400X530N____.fp, 1uF/50V, Samwha, RC1H105M04005VR, 0.15, Conrad, 421551, 0.1
C454., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C455., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C456., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C457., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C458., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C459., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
D401, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D402, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D403, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D404, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D451, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D452, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D453, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D454, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
GND., TEST_POINT, CON-TP_Keystone_5000_compact_red.fp, , , , , , , 20090501
R401, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R402, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R403, RESISTOR, RESC3216N____.fp, 3k3, Yageo, RC1206JR-073k3L, 0.10, Conrad, 402605, 
R404, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 5k, Panasonic, EVM1D, 0.63, Conrad, 421028, 
R405, RESISTOR, RESC3216N____.fp, 100k, Yageo, RC1206JR-07100kL, 0.10, Conrad, 402788, 
R406, RESISTOR, RESC3216N____.fp, 100k, Yageo, RC1206JR-07100kL, 0.10, Conrad, 402788, 
R407, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R408, RESISTOR, RESC3216N____.fp, 15k, Yageo, RC1206JR-0715kL, 0.10, Conrad, 402680, 
R409, RESISTOR, RESC3216N____.fp, 1k, Yageo, RC1206JR-071kL, 0.10, Conrad, 402540, 
R410, RESISTOR, RESC3216N____.fp, 1M, Yageo, RC1206JR-071ML, 0.10, Conrad, 402907, 
R411, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 10k, Panasonic, EVM1D, 0.63, Conrad, 421041, 
R451, RESISTOR, RESC3216N____.fp, 18k, Yageo, RC1206JR-0718kL, 0.10, Conrad, 402699, 
R452, RESISTOR, RESC3216N____.fp, 3k3, Yageo, RC1206JR-073k3L, 0.10, Conrad, 402605, 
R453, RESISTOR, RESC3216N____.fp, 3k3, Yageo, RC1206JR-073k3L, 0.10, Conrad, 402605, 
R454, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 5k, Panasonic, EVM1D, 0.63, Conrad, 421028, 
R455, RESISTOR, RESC3216N____.fp, 180k, Yageo, RC1206JR-07180kL, 0.10, Conrad, 402818, 
R456, RESISTOR, RESC3216N____.fp, 33k, Yageo, RC1206JR-0733kL, 0.10, Conrad, 402729, 
R457, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R458, RESISTOR, RESC3216N____.fp, 15k, Yageo, RC1206JR-0715kL, 0.10, Conrad, 402680, 
R459, RESISTOR, RESC3216N____.fp, 1k, Yageo, RC1206JR-071kL, 0.10, Conrad, 402540, 
R460, RESISTOR, RESC3216N____.fp, 1M, Yageo, RC1206JR-071ML, 0.10, Conrad, 402907, 
R461, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 10k, Panasonic, EVM1D, 0.63, Conrad, 421041, 
TP1., TEST_POINT, CON-TP_Keystone_5000_compact_red.fp, , , , , , , 20090501
TP2., TEST_POINT, CON-TP_Keystone_5000_compact_red.fp, , , , , , , 20090501
U401, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U402, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U403, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U451, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U452, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
U453, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 1.59, Conrad, 142107, 20090414
