"refdes","footprint","value","mfg","mfg_PN","vendor","vendor_PN","price","documentation","source","comment"
"R258","RES1016-635X229____0.6W.fp","15k","Yageo","MF0207FTE52-15K","Conrad","418390","0.10","unknown","unknown","unknown"
"R259","RES1016-635X229____0.6W.fp","1k","Yageo","MF0207FTE52-1K","Conrad","418250","0.05","unknown","unknown","unknown"
"R260","RES1016-635X229____0.6W.fp","1M","Yageo","MF0207FTE52-1M","Conrad","418617","0.05","unknown","unknown","unknown"
"R261","TRIM_Piher_PT-15LH01__.fp","10k","Piher","PT 15 LH 10K","Conrad","431230","0.58","unknown","unknown","unknown"
"U201","DIPS08300____.fp","CA3140E","Intersil","CA3140E","Conrad","174785","2.39","unknown","unknown","including socket"
"U202","DIPS08300____.fp","CA3140E","Intersil","CA3140E","Conrad","174785","2.39","unknown","unknown","including socket"
"U203","DIPS08300____.fp","CA3140E","Intersil","CA3140E","Conrad","174785","2.39","unknown","unknown","including socket"
"U251","DIPS08300____.fp","CA3140E","Intersil","CA3140E","Conrad","174785","2.39","unknown","unknown","including socket"
"U252","DIPS08300____.fp","CA3140E","Intersil","CA3140E","Conrad","174785","2.39","unknown","unknown","including socket"
"U253","DIPS08300____.fp","CA3140E","Intersil","CA3140E","Conrad","174785","2.39","unknown","unknown","including socket"
