refdes, device, footprint, value, mfg, mfg_PN, price, vendor, vendor_PN, symversion
A201, CONNECTOR, CON-SIL-254P-8N____.fp, , Ratioplast-Electronics, STL120838003, 0.37, Conrad, 739472, 
C201., CAPACITOR, CAPC3216N____.fp, 220nF, Yageo, CC1206JRX7R8BB224 , 0.19, Conrad, 445297, 0.1
C202., CAPACITOR, CAPC3216N____.fp, 220nF, Yageo, CC1206JRX7R8BB224 , 0.19, Conrad, 445297, 0.1
C203., POLARIZED_CAPACITOR, CAPAE400X530N____.fp, 1uF/50V, Samwha, RC1H105M04005VR, 0.15, Conrad, 421551, 0.1
C204., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C205., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C206., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C207., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C208., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C209., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C251., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C252., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C253., POLARIZED_CAPACITOR, CAPAE400X530N____.fp, 1uF/50V, Samwha, RC1H105M04005VR, 0.15, Conrad, 421551, 0.1
C254., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C255., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C256., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C257., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C258., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
C259., CAPACITOR, CAPC3216N____.fp, 100nF, Yageo, CC1206KRX7R9BB104, 0.14, Conrad, 445273, 0.1
D201, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D202, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D203, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D204, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D251, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D252, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
D253, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
