refdes, device, footprint, value, mfg, mfg_PN, price, vendor, vendor_PN, symversion
D254, DIODE, DIOMELF3216X16N____.fp, LL4148, Diotec, LL4148, 0.10, Conrad, 140902, 
R201, RESISTOR, RESC3216N____.fp, 12k, Yageo, RC1206JR-0712kL, 0.10, Conrad, 402672, 
R202, RESISTOR, RESC3216N____.fp, 2k2, Yageo, RC1206JR-072k2L, 0.10, Conrad, 402583, 
R203, RESISTOR, RESC3216N____.fp, 2k2, Yageo, RC1206JR-072k2L, 0.10, Conrad, 402583, 
R204, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 5k, Panasonic, EVM1D, 0.63, Conrad, 421028, 
R205, RESISTOR, RESC3216N____.fp, 120k, Yageo, RC1206JR-07120kL, 0.10, Conrad, 402796, 
R206, RESISTOR, RESC3216N____.fp, 22k, Yageo, RC1206JR-0722kL, 0.10, Conrad, 402702, 
R207, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R208, RESISTOR, RESC3216N____.fp, 15k, Yageo, RC1206JR-0715kL, 0.10, Conrad, 402680, 
R209, RESISTOR, RESC3216N____.fp, 1k, Yageo, RC1206JR-071kL, 0.10, Conrad, 402540, 
R210, RESISTOR, RESC3216N____.fp, 1M, Yageo, RC1206JR-071ML, 0.10, Conrad, 402907, 
R211, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 10k, Panasonic, EVM1D, 0.63, Conrad, 421041, 
R251, RESISTOR, RESC3216N____.fp, 12k, Yageo, RC1206JR-0712kL, 0.10, Conrad, 402672, 
R252, RESISTOR, RESC3216N____.fp, 3k9, Yageo, RC1206JR-073k9L, 0.10, Conrad, 402613, 
R253, RESISTOR, RESC3216N____.fp, 2k2, Yageo, RC1206JR-072k2L, 0.10, Conrad, 402583, 
R254, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 5k, Panasonic, EVM1D, 0.63, Conrad, 421028, 
R255, RESISTOR, RESC3216N____.fp, 120k, Yageo, RC1206JR-07120kL, 0.10, Conrad, 402796, 
R256, RESISTOR, RESC3216N____.fp, 39k, Yageo, RC1206JR-0739kL, 0.10, Conrad, 402737, 
R257, RESISTOR, RESC3216N____.fp, 10k, Yageo, RC1206JR-0710kL, 0.10, Conrad, 402664, 
R258, RESISTOR, RESC3216N____.fp, 15k, Yageo, RC1206JR-0715kL, 0.10, Conrad, 402680, 
R259, RESISTOR, RESC3216N____.fp, 1k, Yageo, RC1206JR-071kL, 0.10, Conrad, 402540, 
R260, RESISTOR, RESC3216N____.fp, 1M, Yageo, RC1206JR-071ML, 0.10, Conrad, 402907, 
R261, ADJUSTABLE_RESISTOR, TRIM_Panasonic_EVM1D__.fp, 10k, Panasonic, EVM1D, 0.63, Conrad, 421041, 
U201, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 0.92, Conrad, 174785, 20090414
U202, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 0.92, Conrad, 174785, 20090414
U203, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 0.92, Conrad, 174785, 20090414
U251, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 0.92, Conrad, 174785, 20090414
U252, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 0.92, Conrad, 174785, 20090414
U253, OPAMP, SOIC127P600X155-8N____.fp, CA3140M, Harris, CA3140M, 0.92, Conrad, 174785, 20090414
