"refdes"	"footprint"	"value"	"mfr"	"mfr_PN"	"vendor"	"vendor_PN"	"price"	"documentation"
"D101"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"
"D102"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"
"D103"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"
"D104"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"
"GL101"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"
"J101"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J102"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J103"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J104"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J105"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J106"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J107"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J108"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J109"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J110"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J111"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J112"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J113"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J114"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J115"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J116"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J117"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J118"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
"J119"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	"unknown"	"unknown"	"unknown"
